1,"Antropológia, etnografia"
2,"Biologické vedy"
3,"Divadlo, film, tanec"
4,"Ekonomické vedy, obchod"
5,"Filozofia a náboženstvo"
6,"Fyzika a príbuzné vedy"
7,"Geografia a Geológia"
8,"História"
9,"Hudba"
10,"Chémia"
11,"Jazyk, lingvistika"
12,"Knihovníctvo, informatika"
13,"Matematika"
14,"Lekárstvo"
15,"Politické vedy"
16,"Právo"
17,"Psychológia"
18,"Sociológia"
19,"Technika, technológie"
20,"Telesná výchova a šport"
21,"Umenie, architektúra"
22,"Výchova a vzdelávanie"
23,"Výpočtová technika"
24,"Poľnohospodárstvo"
25,"Beletria"
26,"Literatúra pre deti a mládež"